country,state,year,percentage_of_households_with_source_of_drinking_water_uompercentage_scaling_factor1,revenue_earned_uominrindianrupees_scaling_factor10000000,annual_urban_population_at_mid_year_uomnumber_scaling_factor1000,weighted_average_own_revenue_uominrindianrupees_scaling_factor10000000,revenue_uominrindianrupees_scaling_factor10000000,percentage_of_households_uompercentage_scaling_factor1
IND,Ladakh,2015,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.86
IND,Ladakh,2016,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.86
IND,Ladakh,2017,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.86
IND,Ladakh,2018,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.86
IND,Ladakh,2019,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.86
IND,Ladakh,2020,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.86
IND,Ladakh,2021,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.86
IND,Ladakh,2022,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.86
IND,Lakshadweep,1991,86.20254846296893,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.501115679873983
IND,Lakshadweep,2001,4.6,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,80.23
IND,Lakshadweep,2002,20.2,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,1.18
IND,Lakshadweep,2008,20.2,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,1.18
IND,Lakshadweep,2011,20.2,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,85.21
IND,Lakshadweep,2012,86.23233004632054,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,0.48
IND,Madhya Pradesh,1991,86.20254846296893,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.501115679873983
IND,Madhya Pradesh,2001,88.6,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,63.49
IND,Madhya Pradesh,2002,92.1,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,3.14
IND,Madhya Pradesh,2008,92.1,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,3.14
IND,Madhya Pradesh,2011,92.1,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,67.6
IND,Madhya Pradesh,2012,86.23233004632054,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,2.7
IND,Madhya Pradesh,2015,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.7
IND,Madhya Pradesh,2016,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.7
IND,Madhya Pradesh,2017,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.7
IND,Madhya Pradesh,2018,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.7
IND,Madhya Pradesh,2019,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.7
IND,Madhya Pradesh,2020,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.7
IND,Madhya Pradesh,2021,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.7
IND,Madhya Pradesh,2022,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.7
IND,Maharashtra,1991,86.20254846296893,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.501115679873983
IND,Maharashtra,2001,95.4,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,62.61
IND,Maharashtra,2002,95.7,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,3.04
IND,Maharashtra,2008,95.7,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,3.04
IND,Maharashtra,2011,95.7,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,73.13
IND,Maharashtra,2012,86.23233004632054,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,1.87
IND,Maharashtra,2015,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.87
IND,Maharashtra,2016,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.87
IND,Maharashtra,2017,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.87
IND,Maharashtra,2018,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.87
IND,Maharashtra,2019,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.87
IND,Maharashtra,2020,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.87
IND,Maharashtra,2021,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.87
IND,Maharashtra,2022,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.87
IND,Manipur,1991,86.20254846296893,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.501115679873983
