State,District,predicted_risk
Rajasthan,Pratapgarh,0.06304531
Rajasthan,Rajsamand,0.050830856
Rajasthan,Sawai Madhopur,0.06824232
Rajasthan,Sikar,0.06257576
Rajasthan,Sirohi,0.04005681
Rajasthan,Tonk,0.05786452
Rajasthan,Udaipur,0.04534271
Tamil Nadu,Chennai,0.0886876
Tamil Nadu,Coimbatore,0.1835727
Tamil Nadu,Cuddalore,0.07552911
Tamil Nadu,Dharmapuri,0.0466325
Tamil Nadu,Dindigul,0.049273565
Tamil Nadu,Erode,0.12746112
Tamil Nadu,Kanchipuram,0.08565761
Tamil Nadu,Kanniyakumari,0.047066353
Tamil Nadu,Karur,0.06842906
Tamil Nadu,Madurai,0.056886937
Tamil Nadu,Nagapattinam,0.06347083
Tamil Nadu,Namakkal,0.06597993
Tamil Nadu,Perambalur,0.0745706
Tamil Nadu,Pudukkottai,0.055822868
Tamil Nadu,Ramanathapuram,0.052797575
Tamil Nadu,Salem,0.058625277
Tamil Nadu,Sivaganga,0.05316357
Tamil Nadu,Thanjavur,0.06287244
Tamil Nadu,The Nilgiris,0.21334644
Tamil Nadu,Theni,0.043352302
Tamil Nadu,Thiruvallur,0.08313936
Tamil Nadu,Thiruvarur,0.057109803
Tamil Nadu,Tiruchirappalli,0.0650124
Tamil Nadu,Tirunelveli,0.050201807
Tamil Nadu,Tiruvannamalai,0.070660405
Tamil Nadu,Tuticorin,0.056286328
Tamil Nadu,Vellore,0.06491204
Tamil Nadu,Villupuram,0.073792174
Tamil Nadu,Virudhunagar,0.05411403
Telangana,Adilabad,0.052159898
Telangana,Hyderabad,0.0656512
Telangana,Karimnagar,0.052088317
Telangana,Khammam,0.09183353
Telangana,Mahabubnagar,0.067546524
Telangana,Medak,0.054962274
Telangana,Nalgonda,0.08950299
Telangana,Nizamabad,0.06793555
Telangana,Ranga Reddy,0.063547455
Telangana,Warangal,0.07435273
The Dadra and Nagar Haveli and Daman and Diu,Diu,0.033509336
Tripura,North Tripura,0.06482894
Tripura,South Tripura,0.051707342
Tripura,West Tripura,0.057228293
Uttar Pradesh,Agra,0.08954455
Uttar Pradesh,Aligarh,0.064214766
Uttar Pradesh,Ambedkar Nagar,0.06738732
Uttar Pradesh,Amroha,0.06313175
Uttar Pradesh,Auraiya,0.04667541
Uttar Pradesh,Ayodhya,0.065257326
Uttar Pradesh,Azamgarh,0.059158716
Uttar Pradesh,Baghpat,0.07106778
Uttar Pradesh,Bahraich,0.060640294
Uttar Pradesh,Ballia,0.06034309
Uttar Pradesh,Balrampur,0.07902811
Uttar Pradesh,Banda,0.042183746
Uttar Pradesh,Barabanki,0.059085265
Uttar Pradesh,Bareilly,0.05375384
Uttar Pradesh,Basti,0.07024964
Uttar Pradesh,Bhadohi,0.04398212
Uttar Pradesh,Bijnor,0.07235249
Uttar Pradesh,Budaun,0.05295642
Uttar Pradesh,Bulandshahr,0.058727577
Uttar Pradesh,Deoria,0.056153666
Uttar Pradesh,Etah,0.08389628
Uttar Pradesh,Etawah,0.04899095
Uttar Pradesh,Farrukhabad,0.05492093
Uttar Pradesh,Fatehpur,0.041210867
Uttar Pradesh,Firozabad,0.083057195
Uttar Pradesh,Ghaziabad,0.06668621
Uttar Pradesh,Ghazipur,0.05008105
Uttar Pradesh,Gonda,0.080462165
Uttar Pradesh,Gorakhpur,0.055999152
Uttar Pradesh,Hamirpur,0.047783107
Uttar Pradesh,Hardoi,0.04876438
Uttar Pradesh,Hathras,0.08737341
Uttar Pradesh,Jalaun,0.046425536
Uttar Pradesh,Jaunpur,0.04885664
Uttar Pradesh,Jhansi,0.04706505
Uttar Pradesh,Kanpur Dehat,0.047502495
Uttar Pradesh,Kanpur Nagar,0.048175298
Uttar Pradesh,Kheri,0.051072516
Uttar Pradesh,Kushi Nagar,0.061386894
Uttar Pradesh,Lalitpur,0.04723455
Uttar Pradesh,Lucknow,0.05436826
Uttar Pradesh,Mahrajganj,0.05657286
Uttar Pradesh,Mainpuri,0.05259724
Uttar Pradesh,Mathura,0.064061135
Uttar Pradesh,Mau,0.05398112
Uttar Pradesh,Meerut,0.0681947
Uttar Pradesh,Mirzapur,0.04872876
Uttar Pradesh,Moradabad,0.05940208
Uttar Pradesh,Muzaffarnagar,0.07337869
Uttar Pradesh,Pilibhit,0.054862034
Uttar Pradesh,Prayagraj,0.039147966
Uttar Pradesh,Rae Bareli,0.048063044
Uttar Pradesh,Rampur,0.055279013
Uttar Pradesh,Saharanpur,0.07393646
