State,District,Year,Month,predicted_risk
Andhra Pradesh,Chittoor,2021,4,0.046189334
Andhra Pradesh,Chittoor,2021,4,0.09209731
Andhra Pradesh,Chittoor,2021,4,0.11118636
Andhra Pradesh,Chittoor,2021,4,0.11235222
Andhra Pradesh,Chittoor,2021,4,0.1123313
Andhra Pradesh,Chittoor,2021,4,0.113575906
Andhra Pradesh,Chittoor,2021,4,0.11410724
Andhra Pradesh,Chittoor,2021,5,0.048139315
Andhra Pradesh,Chittoor,2021,5,0.04954745
Andhra Pradesh,Chittoor,2021,5,0.071122795
Andhra Pradesh,Chittoor,2021,5,0.07925707
Andhra Pradesh,Chittoor,2021,5,0.099241294
Andhra Pradesh,Chittoor,2021,5,0.099050954
Andhra Pradesh,Chittoor,2021,5,0.09635595
Andhra Pradesh,Chittoor,2021,5,0.09397733
Andhra Pradesh,Chittoor,2021,5,0.09397733
Andhra Pradesh,East Godavari,2020,1,0.49306837
Andhra Pradesh,East Godavari,2020,1,0.31975567
Andhra Pradesh,East Godavari,2020,1,0.3935481
Andhra Pradesh,East Godavari,2020,1,0.41910037
Andhra Pradesh,East Godavari,2020,1,0.43048298
Andhra Pradesh,East Godavari,2020,1,0.43532756
Andhra Pradesh,East Godavari,2020,1,0.44296628
Andhra Pradesh,East Godavari,2020,1,0.44296628
Andhra Pradesh,East Godavari,2020,1,0.44296628
Andhra Pradesh,East Godavari,2020,2,0.37319338
Andhra Pradesh,East Godavari,2020,2,0.20597024
Andhra Pradesh,East Godavari,2020,2,0.19989668
Andhra Pradesh,East Godavari,2020,2,0.15555543
Andhra Pradesh,East Godavari,2020,2,0.10931649
Andhra Pradesh,East Godavari,2020,2,0.10900016
Andhra Pradesh,East Godavari,2020,2,0.06988922
Andhra Pradesh,East Godavari,2020,2,0.07261327
Andhra Pradesh,East Godavari,2020,2,0.07281321
Andhra Pradesh,East Godavari,2020,3,0.041295893
Andhra Pradesh,East Godavari,2020,3,0.035367146
Andhra Pradesh,East Godavari,2020,3,0.055820722
Andhra Pradesh,East Godavari,2020,3,0.06397398
Andhra Pradesh,East Godavari,2020,3,0.0699781
Andhra Pradesh,East Godavari,2020,3,0.07039663
Andhra Pradesh,East Godavari,2020,3,0.07084752
Andhra Pradesh,East Godavari,2020,3,0.06682965
Andhra Pradesh,East Godavari,2020,3,0.06649221
Andhra Pradesh,East Godavari,2020,4,0.06160481
Andhra Pradesh,East Godavari,2020,4,0.0604887
Andhra Pradesh,East Godavari,2020,4,0.06566002
Andhra Pradesh,East Godavari,2020,4,0.065703906
Andhra Pradesh,East Godavari,2020,4,0.065703906
Andhra Pradesh,East Godavari,2020,4,0.05986308
Andhra Pradesh,East Godavari,2020,4,0.059779156
Andhra Pradesh,East Godavari,2020,4,0.06054579
Andhra Pradesh,East Godavari,2020,4,0.06054579
Andhra Pradesh,East Godavari,2020,5,0.03577567
Andhra Pradesh,East Godavari,2020,5,0.03577567
Andhra Pradesh,East Godavari,2020,5,0.03735058
Andhra Pradesh,East Godavari,2020,5,0.03767327
Andhra Pradesh,East Godavari,2020,5,0.03767327
