Country,Year,Month,Inflation,InterestRate,ExchangeRate,NIFTY50,VIX
IND,2015,11,5.119347052726237,7.3002777777777785,64.41142857142857,7887.636842105264,17.512894736842107
IND,2015,12,5.043023116168579,7.25263888888889,63.69714285714286,7802.638636363636,15.401704545454544
IND,2016,1,4.966699179610919,7.205000000000001,67.24,7535.885,18.329874999999998
IND,2016,2,4.760313962009771,7.181458333333334,67.10625,7199.866666666667,21.34047619047619
IND,2016,3,4.553928744408623,7.157916666666667,66.93857142857142,7550.094999999999,17.36025
IND,2016,4,4.347543526807475,7.134375,66.71375,7786.516666666666,16.716527777777777
IND,2016,5,4.141158309206327,7.110833333333334,67.00375,7871.856818181818,16.512954545454544
IND,2016,6,3.934773091605179,7.087291666666667,66.835,8191.197727272727,16.68693181818182
IND,2016,7,3.7283878740040306,7.063750000000001,66.86555555555555,8505.6125,15.454125
IND,2016,8,3.522002656402883,7.040208333333333,66.938,8640.422727272728,14.299318181818181
IND,2016,9,3.315617438801735,7.016666666666667,66.985,8783.325,14.35925
IND,2016,10,3.1092322212005867,6.993125,67.00833333333334,8666.747368421053,14.723684210526315
IND,2016,11,2.9028470035994385,6.969583333333333,66.96000000000001,8250.75,17.510238095238094
IND,2016,12,2.6964617859982907,6.946041666666666,66.99,8114.027272727273,15.854545454545455
IND,2017,1,2.4900765683971424,6.922499999999999,65.00125,8386.20476190476,15.448928571428572
IND,2017,2,2.6870758617659942,6.987638888888888,65.14428571428572,8813.339473684211,13.571447368421053
IND,2017,3,2.8840751551348465,7.052777777777777,65.56222222222223,9047.056818181818,12.730227272727273
IND,2017,4,3.0810744485036983,7.117916666666666,65.04,9214.572222222221,11.564444444444444
IND,2017,5,3.27807374187255,7.183055555555555,64.9625,9436.986363636363,11.286477272727273
IND,2017,6,3.475073035241402,7.248194444444444,65.428,9606.95476190476,11.230714285714285
IND,2017,7,3.6720723286102537,7.313333333333333,64.96444444444445,9850.119047619048,11.190714285714286
IND,2017,8,3.869071621979106,7.378472222222222,64.9,9901.183333333332,13.201190476190478
IND,2017,9,4.066070915347957,7.443611111111111,65.59285714285714,9977.916666666666,12.409880952380954
IND,2017,10,4.26307020871681,7.50875,65.55875,10138.6775,11.690125
IND,2017,11,4.460069502085662,7.573888888888889,64.935,10324.754545454545,13.348409090909092
IND,2017,12,4.657068795454514,7.639027777777778,64.92375,10322.2625,13.75325
IND,2018,1,4.854068088823365,7.704166666666667,68.20285714285714,10771.154545454545,14.733636363636363
IND,2018,2,5.0879985734515465,7.645208333333334,67.48777777777778,10533.105263157895,16.292894736842104
IND,2018,3,5.3219290580797285,7.58625,68.00571428571429,10232.618421052632,15.11684210526316
IND,2018,4,5.5558595427079105,7.527291666666667,68.29714285714286,10472.933333333334,13.912023809523811
IND,2018,5,5.789790027336092,7.468333333333333,68.00222222222222,10664.447727272727,13.576590909090909
IND,2018,6,6.023720511964273,7.409375,68.25555555555555,10742.97380952381,12.820000000000002
IND,2018,7,6.257650996592455,7.350416666666666,68.38875,10991.156818181818,12.730795454545454
IND,2018,8,6.491581481220637,7.291458333333333,66.94285714285715,11498.440476190477,12.717380952380953
IND,2018,9,6.725511965848818,7.2325,67.72888888888889,11297.058333333332,15.03486111111111
IND,2018,10,6.959442450476999,7.173541666666666,69.06825,10383.809523809523,19.152619047619048
IND,2018,11,7.193372935105181,7.114583333333333,68.91875,10621.7925,18.829
IND,2018,12,7.427303419733363,7.055624999999999,67.9688888888889,10778.442500000001,16.5315
IND,2019,1,7.661233904361544,6.996666666666666,70.09375,10809.463043478261,16.737065217391304
IND,2019,2,7.487421245808934,6.9295833333333325,69.95285714285714,10833.84,16.404
IND,2019,3,7.313608587256325,6.8625,70.08125,11317.242105263158,15.989605263157895
IND,2019,4,7.139795928703714,6.795416666666666,70.63777777777779,11666.452631578948,21.07526315789474
IND,2019,5,6.965983270151105,6.728333333333333,70.42,11592.022727272728,23.21625
IND,2019,6,6.792170611598495,6.66125,70.6225,11839.023684210528,14.752105263157896
IND,2019,7,6.618357953045885,6.594166666666666,70.4125,11523.110869565216,12.98521739130435
IND,2019,8,6.444545294493276,6.527083333333333,70.26222222222222,10976.5,16.486
IND,2019,9,6.270732635940666,6.46,70.39125,11124.28947368421,16.02
IND,2019,10,6.0969199773880565,6.392916666666666,70.14625000000001,11490.205,16.684
IND,2019,11,5.923107318835447,6.325833333333333,70.15555555555555,11964.1325,15.316125
IND,2019,12,5.749294660282836,6.25875,70.20666666666666,12096.880952380952,12.836547619047618
IND,2020,1,5.575482001730227,6.191666666666666,74.7,12183.065217391304,14.942826086956522
IND,2020,2,5.5184177265779075,6.197152777777777,73.91333333333334,11934.4725,15.359874999999999
IND,2020,3,5.461353451425589,6.202638888888889,73.85222222222222,9426.311904761904,53.06357142857143
IND,2020,4,5.40428917627327,6.208125,74.02,9063.583333333334,45.00375
IND,2020,5,5.347224901120951,6.213611111111111,73.97714285714287,9192.013157894737,36.98210526315789
IND,2020,6,5.290160625968633,6.2190972222222225,73.99222222222222,10116.454545454546,30.237613636363633
IND,2020,7,5.2330963508163135,6.224583333333333,73.96125,10897.695652173914,25.184347826086956
IND,2020,8,5.176032075663994,6.230069444444444,74.2775,11318.566666666666,21.210714285714285
IND,2020,9,5.118967800511676,6.235555555555556,74.03666666666666,11336.702272727272,21.078977272727272
IND,2020,10,5.061903525359357,6.241041666666667,73.94,11789.709523809524,21.5825
IND,2020,11,5.004839250207038,6.246527777777778,74.08000000000001,12602.3225,21.011000000000003
IND,2020,12,4.9477749750547195,6.252013888888889,74.32666666666667,13550.44090909091,19.771363636363635
IND,2021,1,4.8907106999024,6.2575,73.78,14284.602499999999,19.66661451048951
IND,2021,2,4.974869064458228,6.3353472222222225,73.77222222222223,14956.842499999999,19.561865384615384
IND,2021,3,5.059027429014055,6.413194444444445,73.6875,14835.099999999999,19.45711625874126
IND,2021,4,5.143185793569883,6.491041666666667,73.56875,14613.852631578948,19.35236713286713
IND,2021,5,5.22734415812571,6.568888888888889,73.6425,14983.525,19.247618006993005
IND,2021,6,5.311502522681537,6.646736111111111,74.17999999999999,15733.677272727275,19.14286888111888
IND,2021,7,5.395660887237365,6.724583333333333,74.0475,15783.097619047618,19.038119755244754
IND,2021,8,5.4798192517931925,6.8024305555555555,73.999,16470.459523809524,18.93337062937063
IND,2021,9,5.563977616349019,6.880277777777778,73.94,17508.614285714288,18.828621503496503
IND,2021,10,5.648135980904847,6.958125,73.76625,18020.22,18.723872377622378
IND,2021,11,5.732294345460675,7.035972222222222,73.29333333333334,17718.892499999998,18.61912325174825
