Country,Year,State Name,Type Of Urban Lobal Body (Ulb) ,Category Of Urban Lobal Body (Ulb),"Weighted Average Own Revenue (UOM:INR(IndianRupees)), Scaling Factor:10000000","Median Own Revenue Per Capita (UOM:INR(IndianRupees)), Scaling Factor:1","Percentage Of Weighted Average Own Revenues To Revenue Expenditure (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Cities Where Own Revenues Meet Revenue Expenditure (UOM:%(Percentage)), Scaling Factor:1"
India,"Financial Year (Apr - Mar), 2022",Goa,Town Panchayat,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Goa,Town Panchayat,500 Thousand - 1 Million,12,188,120,2
India,"Financial Year (Apr - Mar), 2022",Goa,Town Panchayat,100 Thousand-500 Thousand,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Goa,Town Panchayat,<100 Thousand,2,343,14,1
India,"Financial Year (Apr - Mar), 2022",Goa,Municipal Corporation,4 Million+,9761,5684,50,25
India,"Financial Year (Apr - Mar), 2022",Goa,Municipal Corporation,1 Million - 4 Million,958,3022,49,21
India,"Financial Year (Apr - Mar), 2022",Goa,Municipal Corporation,500 Thousand - 1 Million,157,1884,60,11
India,"Financial Year (Apr - Mar), 2022",Goa,Municipal Corporation,100 Thousand-500 Thousand,66,1602,126,6
India,"Financial Year (Apr - Mar), 2022",Goa,Municipal Corporation,<100 Thousand,28,5059,119,0
India,"Financial Year (Apr - Mar), 2022",Goa,Municipality,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Goa,Municipality,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Goa,Municipality,500 Thousand - 1 Million,9,176,22,0
India,"Financial Year (Apr - Mar), 2022",Goa,Municipality,100 Thousand-500 Thousand,16,792,42,4
India,"Financial Year (Apr - Mar), 2022",Goa,Municipality,<100 Thousand,6,750,13,1
India,"Financial Year (Apr - Mar), 2022",Gujarat,Town Panchayat,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Gujarat,Town Panchayat,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Gujarat,Town Panchayat,500 Thousand - 1 Million,12,188,120,2
India,"Financial Year (Apr - Mar), 2022",Gujarat,Town Panchayat,100 Thousand-500 Thousand,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Gujarat,Town Panchayat,<100 Thousand,2,343,14,1
India,"Financial Year (Apr - Mar), 2022",Gujarat,Municipal Corporation,4 Million+,9761,5684,50,25
India,"Financial Year (Apr - Mar), 2022",Gujarat,Municipal Corporation,1 Million - 4 Million,958,3022,49,21
India,"Financial Year (Apr - Mar), 2022",Gujarat,Municipal Corporation,500 Thousand - 1 Million,157,1884,60,11
India,"Financial Year (Apr - Mar), 2022",Gujarat,Municipal Corporation,100 Thousand-500 Thousand,66,1602,126,6
India,"Financial Year (Apr - Mar), 2022",Gujarat,Municipal Corporation,<100 Thousand,28,5059,119,0
India,"Financial Year (Apr - Mar), 2022",Gujarat,Municipality,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Gujarat,Municipality,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Gujarat,Municipality,500 Thousand - 1 Million,9,176,22,0
India,"Financial Year (Apr - Mar), 2022",Gujarat,Municipality,100 Thousand-500 Thousand,16,792,42,4
India,"Financial Year (Apr - Mar), 2022",Gujarat,Municipality,<100 Thousand,6,750,13,1
India,"Financial Year (Apr - Mar), 2022",Haryana,Town Panchayat,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Haryana,Town Panchayat,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Haryana,Town Panchayat,500 Thousand - 1 Million,12,188,120,2
India,"Financial Year (Apr - Mar), 2022",Haryana,Town Panchayat,100 Thousand-500 Thousand,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Haryana,Town Panchayat,<100 Thousand,2,343,14,1
India,"Financial Year (Apr - Mar), 2022",Haryana,Municipal Corporation,4 Million+,9761,5684,50,25
India,"Financial Year (Apr - Mar), 2022",Haryana,Municipal Corporation,1 Million - 4 Million,958,3022,49,21
India,"Financial Year (Apr - Mar), 2022",Haryana,Municipal Corporation,500 Thousand - 1 Million,157,1884,60,11
India,"Financial Year (Apr - Mar), 2022",Haryana,Municipal Corporation,100 Thousand-500 Thousand,66,1602,126,6
India,"Financial Year (Apr - Mar), 2022",Haryana,Municipal Corporation,<100 Thousand,28,5059,119,0
India,"Financial Year (Apr - Mar), 2022",Haryana,Municipality,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Haryana,Municipality,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Haryana,Municipality,500 Thousand - 1 Million,9,176,22,0
India,"Financial Year (Apr - Mar), 2022",Haryana,Municipality,100 Thousand-500 Thousand,16,792,42,4
India,"Financial Year (Apr - Mar), 2022",Haryana,Municipality,<100 Thousand,6,750,13,1
India,"Financial Year (Apr - Mar), 2022",Himachal Pradesh,Town Panchayat,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Himachal Pradesh,Town Panchayat,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Himachal Pradesh,Town Panchayat,500 Thousand - 1 Million,12,188,120,2
India,"Financial Year (Apr - Mar), 2022",Himachal Pradesh,Town Panchayat,100 Thousand-500 Thousand,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Himachal Pradesh,Town Panchayat,<100 Thousand,2,343,14,1
India,"Financial Year (Apr - Mar), 2022",Himachal Pradesh,Municipal Corporation,4 Million+,9761,5684,50,25
India,"Financial Year (Apr - Mar), 2022",Himachal Pradesh,Municipal Corporation,1 Million - 4 Million,958,3022,49,21
India,"Financial Year (Apr - Mar), 2022",Himachal Pradesh,Municipal Corporation,500 Thousand - 1 Million,157,1884,60,11
India,"Financial Year (Apr - Mar), 2022",Himachal Pradesh,Municipal Corporation,100 Thousand-500 Thousand,66,1602,126,6
India,"Financial Year (Apr - Mar), 2022",Himachal Pradesh,Municipal Corporation,<100 Thousand,28,5059,119,0
India,"Financial Year (Apr - Mar), 2022",Himachal Pradesh,Municipality,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Himachal Pradesh,Municipality,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Himachal Pradesh,Municipality,500 Thousand - 1 Million,9,176,22,0
India,"Financial Year (Apr - Mar), 2022",Himachal Pradesh,Municipality,100 Thousand-500 Thousand,16,792,42,4
India,"Financial Year (Apr - Mar), 2022",Himachal Pradesh,Municipality,<100 Thousand,6,750,13,1
India,"Financial Year (Apr - Mar), 2022",Jammu and Kashmir,Town Panchayat,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Jammu and Kashmir,Town Panchayat,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Jammu and Kashmir,Town Panchayat,500 Thousand - 1 Million,12,188,120,2
India,"Financial Year (Apr - Mar), 2022",Jammu and Kashmir,Town Panchayat,100 Thousand-500 Thousand,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Jammu and Kashmir,Town Panchayat,<100 Thousand,2,343,14,1
India,"Financial Year (Apr - Mar), 2022",Jammu and Kashmir,Municipal Corporation,4 Million+,9761,5684,50,25
India,"Financial Year (Apr - Mar), 2022",Jammu and Kashmir,Municipal Corporation,1 Million - 4 Million,958,3022,49,21
India,"Financial Year (Apr - Mar), 2022",Jammu and Kashmir,Municipal Corporation,500 Thousand - 1 Million,157,1884,60,11
India,"Financial Year (Apr - Mar), 2022",Jammu and Kashmir,Municipal Corporation,100 Thousand-500 Thousand,66,1602,126,6
India,"Financial Year (Apr - Mar), 2022",Jammu and Kashmir,Municipal Corporation,<100 Thousand,28,5059,119,0
India,"Financial Year (Apr - Mar), 2022",Jammu and Kashmir,Municipality,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Jammu and Kashmir,Municipality,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Jammu and Kashmir,Municipality,500 Thousand - 1 Million,9,176,22,0
India,"Financial Year (Apr - Mar), 2022",Jammu and Kashmir,Municipality,100 Thousand-500 Thousand,16,792,42,4
India,"Financial Year (Apr - Mar), 2022",Jammu and Kashmir,Municipality,<100 Thousand,6,750,13,1
India,"Financial Year (Apr - Mar), 2022",Jharkhand,Town Panchayat,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Jharkhand,Town Panchayat,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Jharkhand,Town Panchayat,500 Thousand - 1 Million,12,188,120,2
India,"Financial Year (Apr - Mar), 2022",Jharkhand,Town Panchayat,100 Thousand-500 Thousand,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Jharkhand,Town Panchayat,<100 Thousand,2,343,14,1
India,"Financial Year (Apr - Mar), 2022",Jharkhand,Municipal Corporation,4 Million+,9761,5684,50,25
India,"Financial Year (Apr - Mar), 2022",Jharkhand,Municipal Corporation,1 Million - 4 Million,958,3022,49,21
India,"Financial Year (Apr - Mar), 2022",Jharkhand,Municipal Corporation,500 Thousand - 1 Million,157,1884,60,11
India,"Financial Year (Apr - Mar), 2022",Jharkhand,Municipal Corporation,100 Thousand-500 Thousand,66,1602,126,6
India,"Financial Year (Apr - Mar), 2022",Jharkhand,Municipal Corporation,<100 Thousand,28,5059,119,0
India,"Financial Year (Apr - Mar), 2022",Jharkhand,Municipality,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Jharkhand,Municipality,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Jharkhand,Municipality,500 Thousand - 1 Million,9,176,22,0
India,"Financial Year (Apr - Mar), 2022",Jharkhand,Municipality,100 Thousand-500 Thousand,16,792,42,4
India,"Financial Year (Apr - Mar), 2022",Jharkhand,Municipality,<100 Thousand,6,750,13,1
India,"Financial Year (Apr - Mar), 2022",Karnataka,Town Panchayat,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Karnataka,Town Panchayat,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Karnataka,Town Panchayat,500 Thousand - 1 Million,12,188,120,2
India,"Financial Year (Apr - Mar), 2022",Karnataka,Town Panchayat,100 Thousand-500 Thousand,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Karnataka,Town Panchayat,<100 Thousand,2,343,14,1
India,"Financial Year (Apr - Mar), 2022",Karnataka,Municipal Corporation,4 Million+,9761,5684,50,25
India,"Financial Year (Apr - Mar), 2022",Karnataka,Municipal Corporation,1 Million - 4 Million,958,3022,49,21
India,"Financial Year (Apr - Mar), 2022",Karnataka,Municipal Corporation,500 Thousand - 1 Million,157,1884,60,11
India,"Financial Year (Apr - Mar), 2022",Karnataka,Municipal Corporation,100 Thousand-500 Thousand,66,1602,126,6
India,"Financial Year (Apr - Mar), 2022",Karnataka,Municipal Corporation,<100 Thousand,28,5059,119,0
India,"Financial Year (Apr - Mar), 2022",Karnataka,Municipality,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Karnataka,Municipality,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Karnataka,Municipality,500 Thousand - 1 Million,9,176,22,0
India,"Financial Year (Apr - Mar), 2022",Karnataka,Municipality,100 Thousand-500 Thousand,16,792,42,4
India,"Financial Year (Apr - Mar), 2022",Karnataka,Municipality,<100 Thousand,6,750,13,1
India,"Financial Year (Apr - Mar), 2022",Kerala,Town Panchayat,4 Million+,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Kerala,Town Panchayat,1 Million - 4 Million,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Kerala,Town Panchayat,500 Thousand - 1 Million,12,188,120,2
India,"Financial Year (Apr - Mar), 2022",Kerala,Town Panchayat,100 Thousand-500 Thousand,0,0,0,0
India,"Financial Year (Apr - Mar), 2022",Kerala,Town Panchayat,<100 Thousand,2,343,14,1
India,"Financial Year (Apr - Mar), 2022",Kerala,Municipal Corporation,4 Million+,9761,5684,50,25
India,"Financial Year (Apr - Mar), 2022",Kerala,Municipal Corporation,1 Million - 4 Million,958,3022,49,21
India,"Financial Year (Apr - Mar), 2022",Kerala,Municipal Corporation,500 Thousand - 1 Million,157,1884,60,11
India,"Financial Year (Apr - Mar), 2022",Kerala,Municipal Corporation,100 Thousand-500 Thousand,66,1602,126,6
