Country,State,Year,Condition Of House,"Percentage Of Households (UOM:%(Percentage)), Scaling Factor:1"
India,Punjab,"Calendar Year (Jan - Dec), 2001",Dilapidated,3.82
India,Rajasthan,"Calendar Year (Jan - Dec), 2001",Good,62.38
India,Rajasthan,"Calendar Year (Jan - Dec), 2001",Liveable,35.34
India,Rajasthan,"Calendar Year (Jan - Dec), 2001",Dilapidated,2.28
India,Sikkim,"Calendar Year (Jan - Dec), 2001",Good,85.8
India,Sikkim,"Calendar Year (Jan - Dec), 2001",Liveable,12.7
India,Sikkim,"Calendar Year (Jan - Dec), 2001",Dilapidated,1.5
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2001",Good,89.94
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2001",Liveable,9.34
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2001",Dilapidated,0.72
India,Telangana,"Calendar Year (Jan - Dec), 2001",Good,71.92
India,Telangana,"Calendar Year (Jan - Dec), 2001",Liveable,25.87
India,Telangana,"Calendar Year (Jan - Dec), 2001",Dilapidated,2.21
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2001",Good,76.3278301039874317349012
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2001",Liveable,22.1025504039799506246423
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2001",Dilapidated,1.5696194920326176404565
India,Tripura,"Calendar Year (Jan - Dec), 2001",Good,61.6
India,Tripura,"Calendar Year (Jan - Dec), 2001",Liveable,34.15
India,Tripura,"Calendar Year (Jan - Dec), 2001",Dilapidated,4.25
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2001",Good,54.9
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2001",Liveable,40.46
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2001",Dilapidated,4.64
India,Uttarakhand,"Calendar Year (Jan - Dec), 2001",Good,70.95
India,Uttarakhand,"Calendar Year (Jan - Dec), 2001",Liveable,25.75
India,Uttarakhand,"Calendar Year (Jan - Dec), 2001",Dilapidated,3.3
India,West Bengal,"Calendar Year (Jan - Dec), 2001",Good,53.77
India,West Bengal,"Calendar Year (Jan - Dec), 2001",Liveable,39.75
India,West Bengal,"Calendar Year (Jan - Dec), 2001",Dilapidated,6.48
