Country,State,Year,Additional Info,"Percentage Of Households With Source Of Drinking Water (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households With Electricity (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households With Septic Tank Or Flush (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households With No Latrine (UOM:%(Percentage)), Scaling Factor:1"
India,Lakshadweep,"Financial Year (Apr - Mar), 2002",NSSO 58th round,,100.0,73.7,8.2
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2002",NSSO 58th round,,92.0,51.4,33.1
India,Maharashtra,"Financial Year (Apr - Mar), 2002",NSSO 58th round,,95.9,82.7,15.2
India,Manipur,"Financial Year (Apr - Mar), 2002",NSSO 58th round,,93.4,45.6,
India,Meghalaya,"Financial Year (Apr - Mar), 2002",NSSO 58th round,,93.9,77.7,0.9
India,Mizoram,"Financial Year (Apr - Mar), 2002",NSSO 58th round,,99.8,55.8,
India,Nagaland,"Financial Year (Apr - Mar), 2002",NSSO 58th round,,97.5,72.0,
India,Odisha,"Financial Year (Apr - Mar), 2002",NSSO 58th round,,86.6,59.2,32.9
India,Puducherry,"Financial Year (Apr - Mar), 2002",NSSO 58th round,,95.3,76.2,21.7
India,Punjab,"Financial Year (Apr - Mar), 2002",NSSO 58th round,,98.0,74.5,11.6
India,Rajasthan,"Financial Year (Apr - Mar), 2002",NSSO 58th round,,87.1,57.7,30.7
India,Sikkim,"Financial Year (Apr - Mar), 2002",NSSO 58th round,,99.1,92.3,0.7
India,Tamil Nadu,"Financial Year (Apr - Mar), 2002",NSSO 58th round,,93.7,74.4,21.9
India,Telangana,"Financial Year (Apr - Mar), 2002",NSSO 58th round,,93.7,76.8,19.8
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2002",NSSO 58th round,,99.935749420213959751627,89.109215792623625345993,8.875795803097179621467
India,Tripura,"Financial Year (Apr - Mar), 2002",NSSO 58th round,,90.3,43.1,0.8
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2002",NSSO 58th round,,86.3,67.5,16.7
India,Uttarakhand,"Financial Year (Apr - Mar), 2002",NSSO 58th round,,98.0,65.9,16.5
India,West Bengal,"Financial Year (Apr - Mar), 2002",NSSO 58th round,,83.7,65.4,11.2
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2001",,97.8,,,
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2001",,90.2,,,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2001",,90.7,,,
India,Assam,"Financial Year (Apr - Mar), 2001",,70.4,,,
India,Bihar,"Financial Year (Apr - Mar), 2001",,91.2,,,
India,Chandigarh,"Financial Year (Apr - Mar), 2001",,99.8,,,
India,Chhattisgarh,"Financial Year (Apr - Mar), 2001",,88.8,,,
India,Delhi,"Financial Year (Apr - Mar), 2001",,97.7,,,
India,Goa,"Financial Year (Apr - Mar), 2001",,82.1,,,
India,Gujarat,"Financial Year (Apr - Mar), 2001",,95.4,,,
India,Haryana,"Financial Year (Apr - Mar), 2001",,97.3,,,
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2001",,97.0,,,
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2001",,95.7,,,
India,Jharkhand,"Financial Year (Apr - Mar), 2001",,68.2,,,
India,Karnataka,"Financial Year (Apr - Mar), 2001",,92.1,,,
India,Kerala,"Financial Year (Apr - Mar), 2001",,42.8,,,
India,Ladakh,"Financial Year (Apr - Mar), 2001",,95.7,,,
India,Lakshadweep,"Financial Year (Apr - Mar), 2001",,4.6,,,
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2001",,88.6,,,
