State,Year,Month,protest_count,violence_count,conflict_events,fatalities,protest_count_log,protest_count_scaled,violence_count_log,violence_count_scaled,month_sin,month_cos,protest_lag_1,protest_lag_2,protest_lag_3,violence_lag_1,protest_roll_3,protest_roll_6,violence_roll_3,protest_std_3,violence_std_3,protest_change,violence_change,social_risk_t_plus_1
Chandigarh,2017,1,1.5,0.0,0.0,0.0,0.9162907318741551,0.09775132201219458,0.0,0.0,0.49999999999999994,0.8660254037844387,0.13364670412835983,0.13364670412835983,0.13364670412835983,0.0,0.12168157675630475,0.15806319135145355,0.0,0.020724208527432307,0.0,-0.03589538211616525,0.0,0.06649219125296986
Chandigarh,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,0.09775132201219458,0.13364670412835983,0.13364670412835983,0.0,0.0771326753801848,0.1259113477255346,0.0,0.06916796095588688,0.0,-0.09775132201219458,0.0,0.05285303047860607
Chandigarh,2019,1,1.52,0.0,0.0,0.0,0.9242589015233319,0.09860137875742798,0.0,0.0,0.49999999999999994,0.8660254037844387,0.0,0.09775132201219458,0.13364670412835983,0.0,0.06545090025654086,0.09954880219245034,0.0,0.05668373582793624,0.0,0.09860137875742798,0.0,0.03811468865702967
Chandigarh,2020,1,0.53,0.0,0.0,0.0,0.4252677354043441,0.04536822418784016,0.0,0.0,0.49999999999999994,0.8660254037844387,0.09860137875742798,0.0,0.09775132201219458,0.0,0.04798986764842272,0.08483572220236373,0.0,0.049352940480200794,0.0,-0.053233154569587826,0.0,0.03228612711067725
Chandigarh,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,0.04536822418784016,0.09860137875742798,0.0,0.0,0.04798986764842272,0.06256127151430375,0.0,0.049352940480200794,0.0,-0.04536822418784016,0.0,0.02222049533855842
Chhattisgarh,2011,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,,,,,0.0,0.0,0.0,,,,,0.10994284472255886
Chhattisgarh,2012,1,962.4,0.0,0.0,0.0,6.870468694196121,0.7329522981503924,0.0,0.0,0.49999999999999994,0.8660254037844387,0.0,,,0.0,0.3664761490751962,0.3664761490751962,0.0,0.5182755403084067,0.0,0.7329522981503924,0.0,0.17068353929534216
Chhattisgarh,2013,1,917.6,0.0,0.0,0.0,6.8228507718916935,0.7278723440541515,0.0,0.0,0.49999999999999994,0.8660254037844387,0.7329522981503924,0.0,,0.0,0.48694154740151463,0.48694154740151463,0.0,0.4217113994460443,0.0,-0.005079954096240957,0.0,0.3534669167370816
Chhattisgarh,2014,1,1326.1,475.0,0.0,0.0,7.190751389443204,0.7671205547843918,6.16541785423142,0.7707081969557329,0.49999999999999994,0.8660254037844387,0.7278723440541515,0.7329522981503924,0.0,0.0,0.7426483989963119,0.5569862992472339,0.25690273231857763,0.021345170181847718,0.4449685849790435,0.03924821073024032,0.7707081969557329,0.4959496641266399
Chhattisgarh,2015,1,973.4,373.0,0.0,0.0,6.881821896955633,0.734163475498596,5.924255797414532,0.740561728642005,0.49999999999999994,0.8660254037844387,0.7671205547843918,0.7278723440541515,0.7329522981503924,0.7707081969557329,0.7430521247790464,0.5924217344975063,0.5037566418659126,0.021079885576171898,0.43652636581993953,-0.03295707928579583,-0.030146468313727914,0.6486897144297236
Chhattisgarh,2016,1,1059.5,402.0,0.0,0.0,6.966495774004737,0.7431966165459996,5.998936561946683,0.7498971992849797,0.49999999999999994,0.8660254037844387,0.734163475498596,0.7671205547843918,0.7278723440541515,0.740561728642005,0.7481602156096624,0.6175508815055886,0.7537223749609058,0.017029981077827945,0.015432963573514619,0.009033141047403603,0.009335470642974686,0.7137055525161643
Chhattisgarh,2017,1,1094.7,399.0,0.0,0.0,6.999148707411348,0.7466800823249712,5.991464547107982,0.7489631599027163,0.49999999999999994,0.8660254037844387,0.7431966165459996,0.734163475498596,0.7671205547843918,0.7498971992849797,0.7413467247898556,0.7419975618930837,0.746474029276567,0.006460103423601354,0.005141457136551228,0.0034834657789716283,-0.0009340393822633297,0.6970010320631271
Chhattisgarh,2018,1,0.0,388.0,0.0,0.0,0.0,0.0,5.963579343618446,0.745477369415959,0.49999999999999994,0.8660254037844387,0.7466800823249712,0.7431966165459996,0.734163475498596,0.7489631599027163,0.49662556629032356,0.6198388455346849,0.7481125762012183,0.4300938833014796,0.0023294513286865005,-0.7466800823249712,-0.0034857904867573453,0.6472173978620156
Chhattisgarh,2019,1,1208.8200000000002,427.0,0.0,0.0,7.098226867194293,0.7572498946830082,6.059123195581797,0.7574208307705437,0.49999999999999994,0.8660254037844387,0.0,0.7466800823249712,0.7431966165459996,0.745477369415959,0.501309992335993,0.6247351039728278,0.750620453363073,0.434179354121377,0.006141785855305177,0.7572498946830082,0.011943461354584683,0.6024411618883674
Chhattisgarh,2020,1,1334.07,502.0,0.0,0.0,7.19673900391664,0.7677593228195989,6.220590170099739,0.7776050135365524,0.49999999999999994,0.8660254037844387,0.7572498946830082,0.0,0.7466800823249712,0.7574208307705437,0.5083364058342024,0.624841565312029,0.7601677379076851,0.440263600746491,0.016239011771038873,0.010509428136590726,0.02018418276600875,0.607862586384165
Chhattisgarh,2021,1,0.0,506.0,0.0,0.0,0.0,0.0,6.2285110035911835,0.7785951575045542,0.49999999999999994,0.8660254037844387,0.7677593228195989,0.7572498946830082,0.0,0.7776050135365524,0.5083364058342024,0.502480986062263,0.7712070006038835,0.44026360074649107,0.011949433261649309,-0.7677593228195989,0.0009901439680017887,0.5625790116790691
Delhi,2012,1,89.6,0.0,0.0,0.0,4.506454213048934,0.4807555523473939,0.0,0.0,0.49999999999999994,0.8660254037844387,,,,,0.4807555523473939,0.4807555523473939,0.0,,,,,0.29110073460770713
Delhi,2013,1,105.9,0.0,0.0,0.0,4.671893818030999,0.49840490700919926,0.0,0.0,0.49999999999999994,0.8660254037844387,0.4807555523473939,,,0.0,0.4895802296782966,0.4895802296782966,0.0,0.01247997836492894,0.0,0.01764935466180534,0.0,0.3022252259118431
Delhi,2014,1,175.1,2.0,0.0,0.0,5.17105201550216,0.5516558807435177,1.0986122886681098,0.137332053750696,0.49999999999999994,0.8660254037844387,0.49840490700919926,0.4807555523473939,,0.0,0.5102721133667036,0.5102721133667036,0.045777351250231996,0.03690985074093691,0.07928869820132849,0.05325097373431842,0.137332053750696,0.31024232009366026
Delhi,2015,1,50.7,0.0,0.0,0.0,3.9454577815143836,0.42090757951625823,0.0,0.0,0.49999999999999994,0.8660254037844387,0.5516558807435177,0.49840490700919926,0.4807555523473939,0.137332053750696,0.49032278908965843,0.4879309799040923,0.045777351250231996,0.06574777593959029,0.07928869820132849,-0.13074830122725944,-0.137332053750696,0.3184786719874909
Delhi,2016,1,58.9,2.0,0.0,0.0,4.092676505121403,0.43661310218164573,1.0986122886681098,0.137332053750696,0.49999999999999994,0.8660254037844387,0.42090757951625823,0.5516558807435177,0.49840490700919926,0.0,0.4697255208138072,0.477667404359603,0.09155470250046399,0.07138700000145112,0.07928869820132849,0.015705522665387495,0.137332053750696,0.31149758982895054
Delhi,2017,1,57.7,4.0,0.0,0.0,4.072439726834051,0.4344542111637149,1.6094379124341003,0.20118782229058066,0.49999999999999994,0.8660254037844387,0.43661310218164573,0.42090757951625823,0.5516558807435177,0.137332053750696,0.4306582976205396,0.47046520549362164,0.11283995868042555,0.00851308288863109,0.10280579750288861,-0.0021588910179308196,0.06385576853988467,0.2804458672247354
Delhi,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,0.4344542111637149,0.43661310218164573,0.42090757951625823,0.20118782229058066,0.2903557711151202,0.39033928010238933,0.11283995868042555,0.25145779082680836,0.1028057975028886,-0.4344542111637149,-0.20118782229058066,0.24545906541137086
