Country,State,Year,Additional Information,"Number Of Crimes Or Atrocities (UOM:Number), Scaling Factor:1","Rate Of Total Crime Against Scheduled Tribes(Sts) (UOM:Ratio), Scaling Factor:1","Charge Sheeting Rate (UOM:Ratio), Scaling Factor:1","Number Of Population (UOM:Number), Scaling Factor:100000","Total Rate Of Cognizable Crimes (UOM:Ratio), Scaling Factor:1"
India,Kerala,"Calendar Year (Jan - Dec), 2016",,182.0,,,4.8,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2016",,1.0,,,0.6,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2016",,1823.0,,,153.2,
India,Maharashtra,"Calendar Year (Jan - Dec), 2016",,403.0,,,105.1,
India,Manipur,"Calendar Year (Jan - Dec), 2016",,1.0,,,11.7,
India,Meghalaya,"Calendar Year (Jan - Dec), 2016",,0.0,,,25.6,
India,Mizoram,"Calendar Year (Jan - Dec), 2016",,0.0,,,10.4,
India,Nagaland,"Calendar Year (Jan - Dec), 2016",,0.0,,,17.1,
India,Odisha,"Calendar Year (Jan - Dec), 2016",,681.0,,,95.9,
India,Puducherry,"Calendar Year (Jan - Dec), 2016",,1.0,,,0.0,
India,Punjab,"Calendar Year (Jan - Dec), 2016",,2.0,,,0.0,
India,Rajasthan,"Calendar Year (Jan - Dec), 2016",,1195.0,,,92.4,
India,Sikkim,"Calendar Year (Jan - Dec), 2016",,0.0,,,2.1,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2016",,19.0,,,7.9,
India,Telangana,"Calendar Year (Jan - Dec), 2016",,375.0,,,32.9,
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2016",,2.0,,,2.0,
India,Tripura,"Calendar Year (Jan - Dec), 2016",,3.0,,,11.7,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2016",,4.0,,,11.3,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2016",,3.0,,,2.9,
India,West Bengal,"Calendar Year (Jan - Dec), 2016",,83.0,,,53.0,
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2015",,3.0,,,0.3,21.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2015",,362.0,,,26.3,15.4
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2015",,1.0,,,9.5,0.1
India,Assam,"Calendar Year (Jan - Dec), 2015",,0.0,,,38.8,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2015",,5.0,,,13.4,1.9
India,Chandigarh,"Calendar Year (Jan - Dec), 2015",,0.0,,,0.0,0.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2015",,373.0,,,78.2,5.1
India,Delhi,"Calendar Year (Jan - Dec), 2015",,0.0,,,0.0,0.0
India,Goa,"Calendar Year (Jan - Dec), 2015",,8.0,,,1.5,7.4
India,Gujarat,"Calendar Year (Jan - Dec), 2015",,248.0,,,89.2,3.2
India,Haryana,"Calendar Year (Jan - Dec), 2015",,0.0,,,0.0,0.0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2015",,6.0,,,3.9,0.5
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2015",,0.0,,,14.9,0.0
India,Jharkhand,"Calendar Year (Jan - Dec), 2015",,266.0,,,86.5,3.2
India,Karnataka,"Calendar Year (Jan - Dec), 2015",,386.0,,,42.5,8.8
India,Kerala,"Calendar Year (Jan - Dec), 2015",,165.0,,,4.8,37.5
India,Lakshadweep,"Calendar Year (Jan - Dec), 2015",,0.0,,,0.6,1.6
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2015",,1358.0,,,153.2,11.9
India,Maharashtra,"Calendar Year (Jan - Dec), 2015",,482.0,,,105.1,3.8
India,Manipur,"Calendar Year (Jan - Dec), 2015",,0.0,,,9.0,0.1
India,Meghalaya,"Calendar Year (Jan - Dec), 2015",,0.0,,,25.6,0.0
India,Mizoram,"Calendar Year (Jan - Dec), 2015",,0.0,,,10.4,0.0
India,Nagaland,"Calendar Year (Jan - Dec), 2015",,0.0,,,17.1,0.0
India,Odisha,"Calendar Year (Jan - Dec), 2015",,691.0,,,95.9,7.1
India,Puducherry,"Calendar Year (Jan - Dec), 2015",,0.0,,,0.0,0.0
India,Punjab,"Calendar Year (Jan - Dec), 2015",,0.0,,,0.0,0.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2015",,1409.0,,,92.4,12.9
India,Sikkim,"Calendar Year (Jan - Dec), 2015",,0.0,,,2.1,0.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2015",,25.0,,,7.9,2.4
India,Telangana,"Calendar Year (Jan - Dec), 2015",,386.0,,,32.9,11.4
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2015",,3.0,,,2.0,1.1
India,Tripura,"Calendar Year (Jan - Dec), 2015",,3.0,,,11.7,0.3
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2015",,6.0,,,11.3,0.4
India,Uttarakhand,"Calendar Year (Jan - Dec), 2015",,6.0,,,2.9,1.0
India,West Bengal,"Calendar Year (Jan - Dec), 2015",,84.0,,,53.0,1.6
