Country,State,Year,Comments,"Number Of Cases Registered On Scheduled Caste (Sc) During The Year (UOM:Number), Scaling Factor:1","Number Of Cases Registered On Scheduled Tribe (St) During The Year (UOM:Number), Scaling Factor:1","Total Number Of Cases Registered During The Year (Sc+St) (UOM:Number), Scaling Factor:1","Scheduled Caste (Sc) Population As Per 2011 Census  (UOM:Number), Scaling Factor:100000","Scheduled Caste (Sc) Population Percentage To Total Population As Per 2011 Census  (UOM:%(Percentage)), Scaling Factor:1","Scheduled Tribe (St) Population As Per 2011 Census (UOM:Number), Scaling Factor:100000","Scheduled Tribe (St) Population Percentage To Total Population As Per 2011 Census  (UOM:%(Percentage)), Scaling Factor:1","Number Of Cases Registered On Scheduled Caste (Sc) Per Lakh Population As Per 2011 Census (UOM:Number), Scaling Factor:1","Number Of Cases Registered On Scheduled Tribe (St) Per Lakh Population As Per 2011 Census (UOM:Number), Scaling Factor:1"
India,Goa,"Calendar Year (Jan - Dec), 2014",,12,6,18,0.25,1.7,1.4,10.2,48,4.3
India,Gujarat,"Calendar Year (Jan - Dec), 2014",,1075,223,1298,40.7,6.7,89.1,14.8,26.4,2.5
India,Haryana,"Calendar Year (Jan - Dec), 2014",,444,0,444,51.1,20.2,,,8.7,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2014",,113,3,116,17.2,25.2,3.9,5.7,6.6,0.8
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2014","PoA Act, 1989 does not extend in the State",,,,8.998767112451108421720,7.4,14.574090214730599509090,11.9,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2014",,903,402,1305,39.8,12.1,86.4,26.2,22.7,4.6
India,Karnataka,"Calendar Year (Jan - Dec), 2014",,1865,397,2262,104.7,17.1,42.4,7,17.8,9.4
India,Kerala,"Calendar Year (Jan - Dec), 2014",,712,120,832,30.3,9.1,4.8,1.5,23.5,25
India,Ladakh,"Calendar Year (Jan - Dec), 2014","PoA Act, 1989 does not extend in the State",,,,0.201232887548891578280,7.4,0.325909785269400490910,11.9,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2014",,0,0,0,,,0.61,94.8,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2014",,3294,1577,4871,113.4,15.6,153.2,21.1,29,10.3
India,Maharashtra,"Calendar Year (Jan - Dec), 2014",,1763,443,2206,132.7,11.8,105.1,9.4,13.9,4.2
India,Manipur,"Calendar Year (Jan - Dec), 2014",,1,1,2,0.97,3.8,9,35.1,1,0.1
India,Meghalaya,"Calendar Year (Jan - Dec), 2014",,0,0,0,0.17,0.6,25.5,86.1,,
India,Mizoram,"Calendar Year (Jan - Dec), 2014",,0,0,0,0.1,0.1,10.3,94.4,,
India,Nagaland,"Calendar Year (Jan - Dec), 2014",,0,0,0,,,17.1,86.5,,
India,Odisha,"Calendar Year (Jan - Dec), 2014",,1657,533,2190,71.8,17.1,95.9,22.8,23.1,5.6
India,Puducherry,"Calendar Year (Jan - Dec), 2014",,5,1,6,1.9,15.7,,,2.6,1
India,Punjab,"Calendar Year (Jan - Dec), 2014",,123,0,123,88.6,31.9,,,1.4,
India,Rajasthan,"Calendar Year (Jan - Dec), 2014",,6734,1681,8415,122.2,17.8,92.3,13.5,55.1,18.2
India,Sikkim,"Calendar Year (Jan - Dec), 2014",,3,1,4,0.28,4.6,2,33.8,10.7,0.5
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2014",,1486,18,1504,144.3,20,7.9,1.1,10.3,2.3
India,Telangana,"Calendar Year (Jan - Dec), 2014",,1427,333,1760,54.3,15.4,32.9,9.3,26.3,10.1
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2014",,0.00000000000000000000,3.00000000000000000000,3.00000000000000000000,0.1200000000000000000000,2.241479157376714499847,1.8500000000000000000000,23.177717868405924795703,,0.664767881031305571822
India,Tripura,"Calendar Year (Jan - Dec), 2014",,1,0,1,6.5,17.8,11.6,31.8,7.4,2.1
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2014",,8066,24,8090,413.5,20.7,11.3,0.6,19.5,2.1
India,Uttarakhand,"Calendar Year (Jan - Dec), 2014",,60,1,61,18.9,18.8,2.9,2.9,3.2,0.3
India,West Bengal,"Calendar Year (Jan - Dec), 2014",,130,107,237,214.6,23.5,52.9,5.8,0.6,2
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2013",,0,1,1,,,0.28,7.5,,3.6
